Integer,38,Heron’s formula introduced by?,Heron,,,,
Integer,39,Find s if sides are 7,8,9.,12,,,,
Integer,40,Area of triangle with sides 7,8,9.,6√15,,,,
Integer,41,Triangle with sides 4,5,6 area?,√(7.5×3.5×2.5×1.5)=√98.4375,,,,
Integer,42,Heron’s formula symbol for semi-perimeter?,s,,,,
Integer,43,Area depends on sides? (Yes/No),Yes,,,,
Integer,44,Heron’s formula gives exact area? (Yes/No),Yes,,,,
Integer,45,Triangle with sides 3,3,6 possible?,No,,,,
Integer,46,Area of triangle with sides 13,14,15.,84,,,,
Integer,47,Find s if sides are 13,14,15.,21,,,,
Integer,48,Area of triangle with sides 5,5,8.,12,,,,
Integer,49,Triangle sides 6,6,6 area?,9√3,,,,
Integer,50,Heron’s formula is for which shape?,Triangle,,,,

Problem,1,Find area of triangle with sides 3 cm,4 cm,5 cm.,,,,,6 cm²
Problem,2,Find area of triangle with sides 5 cm,12 cm,13 cm.,,,,,30 cm²
Problem,3,Find area of triangle with sides 6 cm,8 cm,10 cm.,,,,,24 cm²
Problem,4,Find area of triangle with sides 7 cm,24 cm,25 cm.,,,,,84 cm²
Problem,5,Find area of triangle with sides 8 cm,15 cm,17 cm.,,,,,60 cm²
Problem,6,Find area of triangle with sides 9 cm,10 cm,11 cm.,,,,,30√2 cm²
Problem,7,Find area of triangle with sides 10 cm,10 cm,12 cm.,,,,,48 cm²
Problem,8,Find area of triangle with sides 4 cm,4 cm,4 cm.,,,,,4√3 cm²
Problem,9,Find area of triangle with sides 5 cm,5 cm,8 cm.,,,,,12 cm²
Problem,10,Find area of triangle with sides 6 cm,7 cm,8 cm.,,,,,(√(10.5×4.5×3.5×2.5)) cm²
Problem,11,Find area of triangle with sides 13 cm,14 cm,15 cm.,,,,,84 cm²
Problem,12,Find area of triangle with sides 20 cm,21 cm,29 cm.,,,,,210 cm²
Problem,13,Find area of triangle with sides 7 cm,8 cm,9 cm.,,,,,6√15 cm²
Problem,14,Find area of triangle with sides 12 cm,13 cm,5 cm.,,,,,30 cm²
Problem,15,Find area of triangle with sides 14 cm,13 cm,15 cm.,,,,,84 cm²
Problem,16,Find area of equilateral triangle of side 6 cm.,,,,,9√3 cm²
Problem,17,Find area of triangle with sides 4 cm,5 cm,6 cm.,,,,,√98.4375 cm²
Problem,18,Find area of triangle with sides 15 cm,15 cm,18 cm.,,,,,108 cm²
Problem,19,Find area of triangle with sides 9 cm,9 cm,12 cm.,,,,,36 cm²
Problem,20,Find area of triangle with sides 16 cm,18 cm,10 cm.,,,,,72 cm²
Problem,21,Find area of triangle with sides 5 cm,6 cm,7 cm.,,,,,(√216) cm²
Problem,22,Find area of triangle with sides 8 cm,8 cm,12 cm.,,,,,32 cm²
Problem,23,Find area of triangle with sides 6 cm,6 cm,6 cm.,,,,,9√3 cm²
Problem,24,Find area of triangle with sides 10 cm,24 cm,26 cm.,,,,,120 cm²
Problem,25,Find area of triangle with sides 12 cm,16 cm,20 cm.,,,,,96 cm²
Problem,26,Find area of triangle with sides 7 cm,10 cm,13 cm.,,,,,28 cm²
Problem,27,Find area of triangle with sides 9 cm,40 cm,41 cm.,,,,,180 cm²
Problem,28,Find area of triangle with sides 20 cm,30 cm,40 cm.,,,,,√(45×25×15×5) cm²
Problem,29,Find area of triangle with sides 5 cm,5 cm,6 cm.,,,,,12 cm²
Problem,30,Find area of triangle with sides 11 cm,13 cm,24 cm.,,,,,60 cm²
Problem,31,Find area of triangle with sides 18 cm,24 cm,30 cm.,,,,,216 cm²
Problem,32,Find area of triangle with sides 25 cm,25 cm,30 cm.,,,,,300 cm²
Problem,33,Find area of triangle with sides 15 cm,20 cm,25 cm.,,,,,150 cm²
Problem,34,Find area of triangle with sides 4 cm,13 cm,15 cm.,,,,,24 cm²
Problem,35,Find area of triangle with sides 10 cm,17 cm,21 cm.,,,,,84 cm²
Problem,36,Find area of triangle with sides 14 cm,48 cm,50 cm.,,,,,336 cm²
Problem,37,Find area of triangle with sides 8 cm,10 cm,12 cm.,,,,,(√(15×7×5×3)) cm²
Problem,38,Find area of triangle with sides 9 cm,12 cm,15 cm.,,,,,54 cm²
Problem,39,Find area of triangle with sides 6 cm,25 cm,29 cm.,,,,,60 cm²
Problem,40,Find area of triangle with sides 7 cm,15 cm,20 cm.,,,,,42 cm²
Problem,41,Find area of triangle with sides 13 cm,20 cm,21 cm.,,,,,126 cm²
Problem,42,Find area of triangle with sides 16 cm,30 cm,34 cm.,,,,,240 cm²
Problem,43,Find area of triangle with sides 8 cm,15 cm,17 cm.,,,,,60 cm²
Problem,44,Find area of triangle with sides 20 cm,20 cm,24 cm.,,,,,192 cm²
Problem,45,Find area of triangle with sides 12 cm,35 cm,37 cm.,,,,,210 cm²
Problem,46,Find area of triangle with sides 10 cm,10 cm,16 cm.,,,,,48 cm²
Problem,47,Find area of triangle with sides 15 cm,36 cm,39 cm.,,,,,270 cm²
Problem,48,Find area of triangle with sides 9 cm,15 cm,18 cm.,,,,,54 cm²
Problem,49,Find area of triangle with sides 14 cm,14 cm,20 cm.,,,,,98 cm²
Problem,50,Find area of triangle with sides 5 cm,12 cm,13 cm.,,,,,30 cm²
