Chapter,Question,Answer
Mensuration,Find the curved surface area of a cylinder with radius 5 cm and height 12 cm,CSA = 2πrh = 2 × 3.14 × 5 × 12 ≈ 376.8 cm²
Mensuration,Find the total surface area of a cylinder with radius 4 cm and height 10 cm,TSA = 2πr(h + r) = 2 × 3.14 × 4(10+4) ≈ 351.68 cm²
Mensuration,Find the volume of a cone with radius 3 cm and height 9 cm,Volume = 1/3 × πr²h = 1/3 × 3.14 × 9 × 9 ≈ 84.78 cm³
Mensuration,Find the curved surface area of a cone with radius 5 cm and slant height 13 cm,CSA = πrl = 3.14 × 5 × 13 ≈ 204.1 cm²
Mensuration,Find the volume of a sphere with radius 7 cm,Volume = 4/3 × πr³ = 4/3 × 3.14 × 343 ≈ 1436.03 cm³
Mensuration,Find the surface area of a sphere with radius 6 cm,SA = 4πr² = 4 × 3.14 × 36 ≈ 452.16 cm²
Mensuration,Find the volume of a hemisphere with radius 5 cm,Volume = 2/3 × πr³ = 2/3 × 3.14 × 125 ≈ 261.67 cm³
Mensuration,Find the surface area of a hemisphere with radius 6 cm,SA = 3πr² = 3 × 3.14 × 36 ≈ 339.12 cm²
Mensuration,Find the perimeter of a circle with radius 7 cm,Circumference = 2πr = 2 × 3.14 × 7 ≈ 43.96 cm
Mensuration,Find the area of a circle with radius 5 cm,Area = πr² = 3.14 × 25 ≈ 78.5 cm²
Mensuration,Find the area of a sector of circle with radius 6 cm and angle 90°,Area = (θ/360) × πr² = (90/360) × 3.14 × 36 ≈ 28.26 cm²
Mensuration,Find the perimeter of an equilateral triangle with side 8 cm,Perimeter = 3 × 8 = 24 cm
Mensuration,Find the area of an equilateral triangle with side 6 cm,Area = √3/4 × side² = 0.433 × 36 ≈ 15.59 cm²
Mensuration,Find the perimeter of a rectangle with length 14 cm and breadth 9 cm,Perimeter = 2(L+B) = 2(14+9) = 46 cm
Mensuration,Find the area of a rectangle with length 11 cm and breadth 7 cm,Area = L × B = 11 × 7 = 77 cm²
Mensuration,Find the area of triangle with sides 7 cm, 8 cm, 9 cm using Heron’s formula,s = (7+8+9)/2 = 12, Area = √(12×(12-7)×(12-8)×(12-9)) = √(12×5×4×3) = √720 ≈ 26.83 cm²
Mensuration,Find the volume of cuboid with length 12 cm, breadth 8 cm, height 6 cm,Volume = 12 × 8 × 6 = 576 cm³
Mensuration,Find the total surface area of cuboid with length 8 cm, breadth 5 cm, height 3 cm,TSA = 2(LB + BH + HL) = 2(40+15+24) = 158 cm²
Mensuration,Find the volume of cube with side 10 cm,Volume = 10³ = 1000 cm³
Mensuration,Find the surface area of cube with side 7 cm,SA = 6 × 7² = 6 × 49 = 294 cm²
Mensuration,Find the circumference of a circle with diameter 14 cm,C = πd = 3.14 × 14 ≈ 43.96 cm
Mensuration,Find the area of a circle with diameter 10 cm,Area = πr² = 3.14 × 25 = 78.5 cm²
Mensuration,Find the curved surface area of a cylinder with radius 6 cm and height 10 cm,CSA = 2πrh = 2 × 3.14 × 6 × 10 ≈ 376.8 cm²
Mensuration,Find the total surface area of a cylinder with radius 5 cm and height 12 cm,TSA = 2πr(h+r) = 2 × 3.14 × 5 × (12+5) ≈ 534.6 cm²
Mensuration,Find the volume of a cylinder with radius 3 cm and height 7 cm,Volume = πr²h = 3.14 × 9 × 7 ≈ 197.82 cm³
Mensuration,Find the area of a trapezium with bases 12 cm, 8 cm and height 5 cm,Area = 1/2 × (12+8) × 5 = 50 cm²
Mensuration,Find the perimeter of a rhombus with side 9 cm,Perimeter = 4 × 9 = 36 cm
Mensuration,Find the volume of a cone with radius 4 cm and height 9 cm,Volume = 1/3 × π × 16 × 9 ≈ 150.72 cm³
Mensuration,Find the curved surface area of a cone with radius 3 cm and slant height 5 cm,CSA = π × 3 × 5 ≈ 47.1 cm²
Mensuration,Find the surface area of a hemisphere with radius 7 cm,SA = 3 × π × 49 ≈ 461.58 cm²
