Type,Question,Answer 
Passage,"One day he found his cat playing with a little doll and he grabbed it away. To his surprise it wasn’t a doll at all, but a man of the tiniest size. He had a little wool shirt with old-fashioned britches and a high tall hat much like a witch’s. He yelled, “Save me! Don’t give me back to that cat. I’ll grant you a wish, I promise you that.” Patrick couldn’t believe how lucky he was! Here was the answer to all of his problems. So he said, “Only if you do all my homework till the end of the semester, that’s 35 days. If you do a good enough job, I could even get A’s.” The little man’s face wrinkled like a dishcloth thrown in the hamper. He kicked his legs and doubled his fists and he grimaced and scowled and pursed his lips, “Oh, am I cursed! But I’ll do it.”",""
Q1,What was Patrick’s cat playing with at first?,Patrick’s cat was playing with what looked like a little doll.
Q2,Why was Patrick surprised when he grabbed the doll?,Patrick was surprised because it was actually a tiny man and not a doll.
Q3,What kind of clothes was the tiny man wearing?,He was wearing a little wool shirt, old-fashioned britches, and a tall hat like a witch’s.
Q4,What did the little man ask Patrick to do?,The little man asked Patrick to save him and not give him back to the cat.
Q5,What wish did Patrick make?,Patrick wished that the little man would do all his homework till the end of the semester.
Q6,For how many days did Patrick want his homework to be done?,Patrick wanted his homework to be done for 35 days.
Q7,How did the little man react to Patrick’s wish?,He became angry and upset, grimaced and scowled, but agreed to do it.
Q8,Why did Patrick feel lucky?,Patrick felt lucky because he thought the little man could solve all his homework problems.
How the Dog Found Himself a New Master!,Passage,"Dogs were once their own masters and lived the way wolves do, in freedom, until a dog was born who was ill pleased with this way of life. He was sick and tired of wandering about by himself looking for food and being frightened of those who were stronger than him. He thought it over and decided that the best thing for him to do was to become the servant of one who was stronger than anyone on earth, and he set out to find such a master. He walked and he walked and he met a kinsman of his, a big wolf who was as strong as he was fierce. “Where are you going, Dog?” the Wolf asked. “I am looking for someone to take up service with. Would you like to be my master, Wolf?” “I don’t see why not!” the Wolf said, and this agreed upon, the two of them went on together.",""
How the Dog Found Himself a New Master!,Q1,How did dogs live in earlier times?,Dogs lived freely like wolves and were their own masters.
How the Dog Found Himself a New Master!,Q2,Why was the dog unhappy with his free life?,He was tired of wandering alone for food and being afraid of stronger animals.
How the Dog Found Himself a New Master!,Q3,What decision did the dog make to improve his life?,He decided to become the servant of someone stronger than anyone on earth.
How the Dog Found Himself a New Master!,Q4,Whom did the dog meet first on his journey?,The dog met a big wolf who was strong and fierce.
How the Dog Found Himself a New Master!,Q5,What did the dog ask the wolf?,The dog asked the wolf if he could become his master.
How the Dog Found Himself a New Master!,Q6,How did the wolf respond to the dog’s request?,The wolf agreed to become the dog’s master.
How the Dog Found Himself a New Master!,Q7,Why did the dog want a powerful master?,He wanted protection from stronger animals and a safer life.
How the Dog Found Himself a New Master!,Q8,What happened after the dog and the wolf agreed?,They went on together as master and servant.

Chapter,Type,Question,Answer
The Kite,Passage,"How bright on the blue is a kite when it’s new! With a dive and a dip it snaps its tail. Then soars like a ship with only a sail. As over tides of wind it rides, climbs to the crest of a gust and pulls, then seems to rest as wind falls.",""
The Kite,Q1,What is described as bright on the blue sky?,The kite is described as bright on the blue sky.
The Kite,Q2,What movements of the kite are mentioned in the poem?,The kite dives, dips, snaps its tail, soars, climbs, and rests.
The Kite,Q3,What is the kite compared to in the poem?,The kite is compared to a ship with only a sail.
The Kite,Q4,What helps the kite to move and fly?,The wind helps the kite to move and fly.
The Kite,Q5,What does “over tides of wind it rides” mean?,It means the kite moves smoothly over strong waves of wind.
The Kite,Q6,What happens when the wind becomes weak?,The kite seems to rest when the wind falls.
The Kite,Q7,Which words show the rising movement of the kite?,Words like “soars,” “climbs,” and “crest” show the rising movement.
The Kite,Q8,What feeling about the kite does the poet express?,The poet expresses joy and admiration for the kite’s beautiful movement in the sky.

Chapter,Type,Question,Answer
Taro’s Reward,Passage,"One evening, when Taro and his parents were sitting in a corner of their hut, a strong wind began to blow. It whistled through the cracks of the hut and everyone felt very cold. Suddenly Taro’s father said, “I wish I had a cup of saké; it would warm me and do my old heart good.” This made Taro sadder than ever, for the heart-warming drink called saké was very expensive. ‘How do I earn more money?’ he asked himself. ‘How do I get a little saké for my poor old father?’ He decided to work harder than before.",""
Taro’s Reward,Q1,Where were Taro and his parents sitting?,They were sitting in a corner of their hut.
Taro’s Reward,Q2,What kind of weather was there that evening?,A strong wind was blowing and it was very cold.
Taro’s Reward,Q3,What did Taro’s father wish for?,He wished for a cup of saké to warm himself.
Taro’s Reward,Q4,Why did Taro feel sadder than ever?,He felt sad because saké was very expensive and he could not afford it for his father.
Taro’s Reward,Q5,What questions did Taro ask himself?,He wondered how to earn more money and how to get saké for his father.
Taro’s Reward,Q6,What does saké do according to Taro’s father?,It warms the body and makes the heart feel good.
Taro’s Reward,Q7,What decision did Taro make after hearing his father’s wish?,He decided to work harder than before.
Taro’s Reward,Q8,What does this passage show about Taro’s character?,It shows that Taro is loving, caring, and responsible towards his parents.

Chapter,Type,Question,Answer
The Quarrel,Passage,"I quarrelled with my brother, I don’t know what about. One thing led to another and somehow we fell out. The start of it was slight, the end of it was strong. He said he was right, I knew he was wrong!",""
The Quarrel,Q1,With whom did the poet quarrel?,The poet quarrelled with his brother.
The Quarrel,Q2,Does the poet remember the reason for the quarrel?,No, the poet does not remember what the quarrel was about.
The Quarrel,Q3,How did the quarrel begin?,The quarrel began over something very small.
The Quarrel,Q4,How did the quarrel end?,It ended in a strong and serious fight.
The Quarrel,Q5,What did the brother say during the quarrel?,The brother said that he was right.
The Quarrel,Q6,What did the poet believe?,The poet believed that he was right and his brother was wrong.
The Quarrel,Q7,What does “one thing led to another” mean?,It means a small issue turned into a bigger argument.
The Quarrel,Q8,What is the message of this poem?,The poem shows that small misunderstandings can turn into big quarrels if not controlled.

Chapter,Type,Question,Answer
An Indian–American Woman in Space: Kalpana Chawla,Passage,"Kalpana’s first space mission in the space shuttle, Columbia, was 15 days, 16 hours and 34 minutes long. During this time she went around the earth 252 times, travelling 10.45 million kilometres! The crew included a Japanese and a Ukranian astronaut. The crew performed experiments such as pollinating plants to observe food growth in space, and tests for making stronger metals and faster computer chips - all for a price tag of about 56 million dollars. On the Saturday night when the news about the Columbia disaster broke, there was shock and disbelief. The town of Karnal spent a sleepless night as thousands of households stayed glued to their television sets in the hope that Kalpana and the crew had somehow survived. A journalist wrote: She was a heroine. It takes enormous ability to become an astronaut. You need to know a lot about everything, from biology to astrophysics to aeronautical engineering. In this age of super-specialisation, you must have encyclopaedic knowledge to be an astronaut. Her achievement is awe-inspiring.",""
An Indian–American Woman in Space: Kalpana Chawla,Q1,How long was Kalpana Chawla’s first space mission?,Her first space mission lasted 15 days, 16 hours and 34 minutes.
An Indian–American Woman in Space: Kalpana Chawla,Q2,How many times did she go around the earth during the mission?,She went around the earth 252 times.
An Indian–American Woman in Space: Kalpana Chawla,Q3,How far did the space shuttle travel?,It travelled about 10.45 million kilometres.
An Indian–American Woman in Space: Kalpana Chawla,Q4,Who were included in the crew along with Kalpana?,The crew included a Japanese and a Ukrainian astronaut.
An Indian–American Woman in Space: Kalpana Chawla,Q5,What kinds of experiments were performed in space?,Experiments included pollinating plants, making stronger metals, and developing faster computer chips.
An Indian–American Woman in Space: Kalpana Chawla,Q6,How did the people of Karnal react to the news of the disaster?,They were shocked and stayed awake all night hoping for the crew’s survival.
An Indian–American Woman in Space: Kalpana Chawla,Q7,According to the journalist, what qualities are needed to become an astronaut?,An astronaut needs enormous ability and wide knowledge in many fields like biology, astrophysics, and aeronautical engineering.
An Indian–American Woman in Space: Kalpana Chawla,Q8,Why is Kalpana Chawla’s achievement described as awe-inspiring?,Because becoming an astronaut requires great ability and vast knowledge, and her space mission was a remarkable achievement.

Chapter,Type,Question,Answer
Beauty,Passage,"Beauty is heard in the night, wind sighing, rain falling, or a singer chanting anything in earnest. Beauty is in yourself. Good deeds, happy thoughts that repeat themselves in your dreams, in your work, and even in your rest.",""
Beauty,Q1,Where is beauty heard according to the poem?,Beauty is heard in the night in the sounds of wind, rain, and singing.
Beauty,Q2,Which natural sounds are mentioned in the poem?,The sounds of wind sighing and rain falling are mentioned.
Beauty,Q3,What human sound is referred to as beautiful?,A singer chanting earnestly is described as beautiful.
Beauty,Q4,According to the poem, where else can beauty be found?,Beauty can be found within oneself.
Beauty,Q5,What qualities inside a person show beauty?,Good deeds and happy thoughts show inner beauty.
Beauty,Q6,Where do good deeds and happy thoughts repeat themselves?,They repeat in dreams, in work, and even in rest.
Beauty,Q7,What does “anything in earnest” mean in the poem?,It means doing or saying something sincerely and with true feeling.
Beauty,Q8,What is the central message of the poem?,The poem teaches that beauty exists in nature’s sounds and within our own good actions and thoughts.

Chapter,Type,Question,Answer
A Different Kind of School,Passage,"Miss Beam was all that I had expected — middle-aged, full of authority, yet kindly and understanding. Her hair was beginning to turn grey, and she had the kind of plump figure that is likely to be comforting to a homesick child. I asked her some questions about her teaching methods, which I had heard were simple.",""
A Different Kind of School,Q1,How is Miss Beam described by the narrator?,She is described as middle-aged, authoritative, yet kind and understanding.
A Different Kind of School,Q2,What was happening to Miss Beam’s hair?,Her hair was beginning to turn grey.
A Different Kind of School,Q3,Why was Miss Beam’s appearance comforting to children?,Her plump figure and kind nature made her comforting to homesick children.
A Different Kind of School,Q4,What did the narrator ask Miss Beam about?,The narrator asked about her teaching methods.
A Different Kind of School,Q5,How had the narrator heard Miss Beam’s teaching methods were?,He had heard that her teaching methods were simple.
A Different Kind of School,Q6,What qualities of Miss Beam show that she was a good teacher?,Her kindness, understanding nature, and authority show she was a good teacher.
A Different Kind of School,Q7,What does “full of authority” suggest about Miss Beam?,It suggests that she was strict and disciplined when needed.
A Different Kind of School,Q8,What impression does the passage create about Miss Beam?,The passage creates the impression of a caring, disciplined, and supportive teacher.

Chapter,Type,Question,Answer
Where Do All the Teachers Go?,Passage,"Did they ever lose their hymn books? Did they ever leave their greens? Did they scribble on the desk tops? Did they wear old dirty jeans? I’ll follow one back home today. I’ll find out what they do. Then I’ll put it in a poem that they can read to you. – Peter Dixon",""
Where Do All the Teachers Go?,Q1,What is the poet curious about?,The poet is curious about what teachers do when they are not in school.
Where Do All the Teachers Go?,Q2,Which careless habits of teachers does the poet imagine?,He imagines that teachers might lose books, leave greens, scribble on desks, and wear dirty jeans.
Where Do All the Teachers Go?,Q3,What does the line “Did they scribble on the desk tops?” suggest?,It suggests that teachers might behave like students sometimes.
Where Do All the Teachers Go?,Q4,What does the poet plan to do to satisfy his curiosity?,He plans to follow a teacher home to see what they do.
Where Do All the Teachers Go?,Q5,Why does the poet want to follow a teacher?,He wants to find out how teachers behave in their personal life.
Where Do All the Teachers Go?,Q6,What will the poet do after finding out about teachers?,He will write a poem about it.
Where Do All the Teachers Go?,Q7,Who will read the poem according to the poet?,The teachers will read the poem.
Where Do All the Teachers Go?,Q8,What is the tone of the poem?,The tone of the poem is playful and curious.

Chapter,Type,Question,Answer
Who I Am,Passage,"When I grow up, I am going to be the Prime Minister of India. People always laugh when I say that, but I am sure that I will do it. Everyone in my class asks me what to do when they have a problem, and my teacher always trusts me when something needs to be done in school. I want to make things better for everyone. I want us to have good hospitals and roads and schools. I want to make sure that there are many good scientists in India who will invent cures for diseases and send a spaceship to Mars.",""
Who I Am,Q1,What does the speaker want to become when he grows up?,He wants to become the Prime Minister of India.
Who I Am,Q2,How do people react when the speaker shares his dream?,People laugh when he says that.
Who I Am,Q3,Why do classmates come to the speaker with their problems?,Because they trust his judgement and leadership.
Who I Am,Q4,What does the teacher think about the speaker?,The teacher trusts him when something needs to be done in school.
Who I Am,Q5,What kind of changes does the speaker want to make for people?,He wants better hospitals, roads, and schools for everyone.
Who I Am,Q6,What does the speaker want scientists in India to achieve?,He wants scientists to invent cures for diseases and send a spaceship to Mars.
Who I Am,Q7,What qualities of the speaker are shown in the passage?,The passage shows leadership, confidence, and concern for others.
Who I Am,Q8,What is the main idea of this passage?,The main idea is about a child’s big dreams and desire to improve the country.

Chapter,Type,Question,Answer
The Wonderful Words,Passage,"Never let a thought shrivel and die for want of a way to say it. For English is a wonderful game and all of you can play it. All that you do is match the words to the brightest thoughts in your head so that they come out clear and true and handsomely groomed and fed. For many of the loveliest things have never yet been said.",""
The Wonderful Words,Q1,What should never be allowed to “shrivel and die”?,A thought should never be allowed to shrivel and die.
The Wonderful Words,Q2,Why does the poet call English a wonderful game?,Because it allows everyone to express their thoughts creatively using words.
The Wonderful Words,Q3,What should we match words with according to the poem?,We should match words with the brightest thoughts in our head.
The Wonderful Words,Q4,What does “come out clear and true” mean?,It means expressing thoughts clearly and honestly.
The Wonderful Words,Q5,What does “handsomely groomed and fed” suggest about words?,It suggests that words should be chosen and arranged carefully.
The Wonderful Words,Q6,What kind of things have never yet been said?,Many of the loveliest thoughts and ideas have never yet been expressed.
The Wonderful Words,Q7,What is the poet encouraging the readers to do?,The poet encourages readers to express their thoughts clearly using good words.
The Wonderful Words,Q8,What is the main message of the poem?,The poem teaches the importance of expressing beautiful thoughts using the power of language.

Chapter,Type,Question,Answer
Fair Play,Passage,"One day she spoke to Jumman, “My son, it is now obvious that I am not wanted in your house. Kindly give me a monthly allowance so that I can set up a separate kitchen.” “My wife knows best how to run the house. Be patient,” said Jumman shamelessly. This made his aunt very angry and she decided to take her case to the village panchayat. For many days, the old lady was seen talking to the villagers explaining her case and seeking their support. Some sympathised with her, others laughed at her and a few advised her to make it up with her nephew and his wife. At last she came to Algu Chowdhry and spoke to him. “You know, Chachi, Jumman is my best friend. How can I go against him?” Algu said. “But is it right, my son, to keep mum and not say what you consider just and fair?” pleaded the old lady. “Come to the panchayat and speak the truth,” she said. Algu didn’t reply, but her words kept ringing in his ears.",""
Fair Play,Q1,What did Jumman’s aunt ask him for?,She asked for a monthly allowance to set up a separate kitchen.
Fair Play,Q2,Why did the aunt feel she was not wanted in Jumman’s house?,She felt neglected and badly treated by Jumman and his wife.
Fair Play,Q3,How did Jumman respond to his aunt’s request?,He told her to be patient and said his wife knew how to run the house.
Fair Play,Q4,What decision did the old lady take after Jumman’s response?,She decided to take her case to the village panchayat.
Fair Play,Q5,How did the villagers react to the old lady’s complaint?,Some sympathised, some laughed, and some advised her to compromise.
Fair Play,Q6,Why was Algu Chowdhry hesitant to support the old lady?,Because Jumman was his best friend.
Fair Play,Q7,What did the old lady urge Algu to do?,She urged him to come to the panchayat and speak the truth.
Fair Play,Q8,What conflict is shown in this passage?,The conflict between friendship and doing what is just and fair is shown.

Chapter,Type,Question,Answer
Vocation,Passage,"There is nothing to hurry him on, there is no road he must take, no place he must go to, no time when he must come home. I wish I were a hawker, spending my day in the road, crying, “Bangles, crystal bangles!” When at four in the afternoon I come back from the school, I can see through the gate of that house the gardener digging the ground.",""
Vocation,Q1,Who is described as having no hurry or fixed time?,The hawker is described as having no hurry or fixed time.
Vocation,Q2,What does the speaker wish to become?,The speaker wishes to become a hawker.
Vocation,Q3,What does the hawker cry while selling?,He cries, “Bangles, crystal bangles!”
Vocation,Q4,At what time does the speaker return from school?,The speaker returns from school at four in the afternoon.
Vocation,Q5,Whom does the speaker see through the gate?,The speaker sees the gardener digging the ground.
Vocation,Q6,Why does the speaker admire the hawker’s life?,Because the hawker’s life seems free with no hurry or fixed schedule.
Vocation,Q7,What contrast is shown between the speaker and the hawker?,The speaker has fixed school hours, while the hawker appears to have freedom.
Vocation,Q8,What is the main idea of the poem?,The poem expresses a child’s desire for freedom and admiration for different professions.

Chapter,Type,Question,Answer
The Banyan Tree,Passage,"My first friend was a small grey squirrel. Arching his back and sniffing into the air, he seemed at first to resent my invasion of his privacy. But when he found that I did not arm myself with catapult or air gun, he became friendly, and when I started bringing him pieces of cake and biscuit he grew quite bold and was soon taking morsels from hand. Before long, he was delving into my pockets and helping himself to whatever he could find.",""
The Banyan Tree,Q1,Who was the narrator’s first friend?,The narrator’s first friend was a small grey squirrel.
The Banyan Tree,Q2,How did the squirrel react at first to the narrator’s presence?,The squirrel seemed to resent the invasion of his privacy and acted cautiously.
The Banyan Tree,Q3,Why did the squirrel become friendly with the narrator?,He realized that the narrator was not armed and meant no harm.
The Banyan Tree,Q4,What food did the narrator give to the squirrel?,The narrator gave the squirrel pieces of cake and biscuit.
The Banyan Tree,Q5,How did the squirrel’s behaviour change over time?,He grew bold and started taking food from the narrator’s hand.
The Banyan Tree,Q6,What did the squirrel do after becoming comfortable with the narrator?,He began delving into the narrator’s pockets to find food.
The Banyan Tree,Q7,What does this passage show about the narrator’s attitude towards animals?,It shows that the narrator is gentle and kind towards animals.
The Banyan Tree,Q8,What is the main idea of this passage?,The passage shows how trust and friendship can grow between humans and animals.
